num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,imdb_score,aspect_ratio,movie_facebook_likes,Action,Adventure,Fantasy,Sci.Fi,Thriller,Romance,Animation,Comedy,Family,Musical,Mystery,Western,Drama,History,Sport,Crime,Horror,War,Biography,Music,Documentary,News,Short,Film.Noir
723,178,0,1000,760505847,886204,4834,3054,2.37E+08,7.9,1.78,33000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,169,563,40000,309404152,471220,48350,1238,3.00E+08,7.1,2.35,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,148,0,11000,200074175,275868,11700,994,2.45E+08,6.8,2.35,85000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,164,22000,27000,448130642,1144337,106759,2701,2.50E+08,8.5,2.35,164000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,132,475,640,73058679,212204,1873,738,263700000,6.6,2.35,24000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,156,0,24000,336530303,383056,46055,1902,2.58E+08,6.2,2.35,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,100,15,799,200807262,294810,2036,387,2.60E+08,7.8,1.85,29000,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,141,0,26000,458991599,462669,92000,1117,2.50E+08,7.5,2.35,118000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,153,282,25000,301956980,321795,58753,973,2.50E+08,7.5,2.35,10000,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
673,183,0,15000,330249062,371639,24450,3018,2.50E+08,6.9,2.35,197000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,169,0,18000,200069408,240396,29991,2367,2.09E+08,6.1,2.35,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,106,395,451,168368427,330784,2023,1243,2.00E+08,6.7,2.35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,151,563,40000,423032628,522040,48486,1832,2.25E+08,7.3,2.35,5000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,150,563,40000,89289910,181792,45757,711,2.15E+08,6.5,2.35,48000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
733,143,0,15000,291021565,548573,20495,2536,2.25E+08,7.2,2.35,118000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
